"row","name","abv","ibu","style","brewery"
"273","Floris Fraise",0.036,14,"Fruit Beer","Baltika Breweries"
"274","St. Idesbald Dubbel",0.08,20,"Belgian Dubbel","Baltika Breweries"
"275","Belgian Cherry Wheat Beer",0.035,14,"Fruit Beer","Baltika Breweries"
"276","Mexican Imperial Stout",0.09,65,"Stout - American Imperial / Double","Calavera"
"277","American Pale Ale",0.065,35,"Pale Ale - American","Calavera"
"278","Calavera Tripel de Abadía",0.085,25,"Belgian Tripel","Calavera"
"279","Calavera Dubbel de Abadia",0.064,19,"Belgian Dubbel","Calavera"
"280","Witbier",0.048,13,"Witbier","Calavera"
"281","Morning Star",0.078,80,"IPA - American","Calavera"
"282","Ofrenda",0.1,27,"Belgian Tripel","Calavera"
"283","Mjolnir",0.08,70,"IPA - Imperial / Double","Calavera"
"284","Ruta Maya",0.06,19,"Belgian Strong Dark Ale","Calavera"
"285","Corazón Negro",0.12,65,"Stout - Imperial / Double","Calavera"
"286","Güera Galáctica",0.04,23,"Blonde Ale","Calavera"
"287","Calavera Smoky Scottish Ale 80/-",0.054,15,"Smoked Beer","Calavera"
"288","Penumbra",0.045,26,"Schwarzbier","Calavera"
"289","Maquahuitl",0.065,70,"IPA - Black / Cascadian Dark Ale","Calavera"
"290","Sanctum",0.08,21,"Bock - Weizenbock","Calavera"
"291","Sangre De Unicornio",0.03,14,"Fruit Beer","Calavera"
"292","Ofrenda 2015",0.1,27,"Belgian Tripel","Calavera"
"293","Quintaesencia",0.12,27,"Other","Calavera"
"294","Corazón Amargo",0.09,28,"IPA - International","Calavera"
"295","Pacto",0.052,28,"Lager - Munich Dunkel","Calavera"
"296","Sanctum 2012",0.065,11,"Hefeweizen","Calavera"
"297","Ofrenda 2017",0.1,27,"Belgian Tripel","Calavera"
"298","Sanctum 2017",0.075,21,"Bock - Weizenbock","Calavera"
"299","Ofrenda 2016",0.1,27,"Belgian Tripel","Calavera"
"300","Calavera Oktobeerfest",0.056,22,"Märzen","Calavera"
"301","Project X",0.055,28,"Brown Ale - American","Calavera"
"302","Schwarzbier",0.053,26,"Schwarzbier","Calavera"
"303","Mr. Punch",0.048,32,"Brown Ale - English","Calavera"
"304","10 Aniversario",0.1,25,"Belgian Tripel","Calavera"
"305","BeerCentenario",0.09,28,"Barleywine - English","Calavera"
"306","SMASH",0.07,69,"IPA - American","Calavera"
"307","Yule 2018",0.1,30,"Belgian Strong Dark Ale","Calavera"
"308","Buen Día",0.08,50,"IPA - Belgian","Calavera"
"309","Project X 02",0.08,28,"Dark Ale","Calavera"
"310","Megablend",0.058,11,"Sour - Ale","Calavera"
"311","Calavera Ofrenda 2018",0.1,27,"Belgian Tripel","Calavera"
"312","Breakfast IPA",0.07,28,"IPA - International","Calavera"
"313","Cabrito Negro",0.054,10,"Lager - Dark","Calavera"
"314","Carlsberg",0.05,8,"Lager - Euro","Carlsberg"
"315","Tuborg Grøn",0.046,18,"Pilsner - Other","Carlsberg"
"316","Somersby Apple Cider",0.045,28,"Cider - Sweet","Carlsberg"
"317","Elephant",0.072,28,"Lager - Euro Strong","Carlsberg"
"318","Tuborg Classic",0.046,17,"Lager - Euro","Carlsberg"
"319","Tuborg Guld/Gold",0.056,22,"Lager - Pale","Carlsberg"
"320","Carlsberg Pilsner (Hof)",0.042,25,"Pilsner - Other","Carlsberg"
"321","Carlsberg Sort Guld/Black Gold",0.058,40,"Lager - Helles","Carlsberg"
"322","Carlsberg Export",0.05,8,"Lager - Euro","Carlsberg"
"323","Tuborg Julebryg",0.056,28,"Lager - Winter","Carlsberg"
"324","Brewmasters Collection India Pale Ale",0.052,45,"IPA - English","Carlsberg"
"325","Somersby Blackberry",0.045,28,"Cider - Other Fruit","Carlsberg"
"326","Carlsberg Non Alcoholic",0.005,25,"Non-Alcoholic Beer","Carlsberg"
"327","Somersby Pear Cider",0.045,28,"Cider - Perry","Carlsberg"
"328","Carls Special",0.044,18,"Lager - Vienna","Carlsberg"
"329","Tuborg Rå",0.045,19,"Pilsner - Other","Carlsberg"
"330","Carlsberg 1883",0.046,19,"Lager - American Amber / Red","Carlsberg"
"331","Tuborg Juleøl",0.045,28,"Lager - Winter","Carlsberg"
"332","Tuborg Hvid",0.046,14,"Witbier","Carlsberg"
"333","Somersby Red Rhubarb",0.045,28,"Cider - Other","Carlsberg"
"334","Brewmasters Collection American Pale Ale",0.046,36,"Pale Ale - American","Carlsberg"
"335","Somersby Elderflower Lime",0.045,28,"Cider - Other","Carlsberg"
"336","Tuborg Påskebryg",0.054,18,"Lager - Vienna","Carlsberg"
"337","Gl. Carlsberg Porter",0.082,45,"Porter - Baltic","Carlsberg"
"338","Special Brew",0.08,35,"Pilsner - Imperial / Double","Carlsberg"
"339","Carlsberg 47",0.07,18,"Bock - Single / Traditional","Carlsberg"
"340","Tuborg Summer",0.023,28,"Shandy / Radler","Carlsberg"
"341","Brewmasters Collection California Steam Beer",0.047,27,"California Common","Carlsberg"
"342","Tuborg Rød",0.043,21,"Lager - Euro Dark","Carlsberg"
"343","Tuborg Fine Festival",0.075,35,"Pilsner - Imperial / Double","Carlsberg"
"344","Somersby Citrus Fruit",0.045,28,"Cider - Other Fruit","Carlsberg"
"345","Master Brew",0.105,8,"Malt Liquor ","Carlsberg"
"346","Nordic Gylden Bryg",0.005,15,"Non-Alcoholic Beer","Carlsberg"
"347","Somersby Blueberry",0.045,28,"Cider - Sweet","Carlsberg"
"348","Somersby Double Press",0.045,28,"Cider - Other","Carlsberg"
"349","Somersby Sparkling Rosé",0.045,28,"Cider - Other","Carlsberg"
"350","Carlsberg Unfiltered",0.042,28,"Kellerbier / Zwickelbier","Carlsberg"
"351","Brewmasters Hoppy Alpen Weisse",0.054,11,"Hefeweizen","Carlsberg"
"352","Elephant Extra Strong",0.105,28,"Lager - Euro Strong","Carlsberg"
"353","Tuborg Pure Gold",0.055,17,"Lager - Euro","Carlsberg"
"354","Gamle Carlsberg Lager",0.043,21,"Lager - Euro Dark","Carlsberg"
"355","Carls Jul",0.056,28,"Lager - Winter","Carlsberg"
"356","Somersby Orchard Selection Secco",0.045,28,"Cider - Other","Carlsberg"
"357","Somersby Watermelon",0.045,28,"Cider - Other Fruit","Carlsberg"
"358","Semper Ardens Grubleren IPA",0.055,46,"IPA - English","Carlsberg"
"359","Skol Lager",0.028,17,"Lager - Euro","Carlsberg"
"360","Semper Ardens Wiener",0.042,18,"Lager - Vienna","Carlsberg"
"361","Falcon Pilgrim",0.045,28,"Lager - Dortmunder / Export","Carlsberg"
"362","Semper Ardens Kellerbier",0.052,28,"Kellerbier / Zwickelbier","Carlsberg"
"363","Somersby Peach Cider",0.045,28,"Cider - Other","Carlsberg"
"364","Semper Ardens Porter",0.068,50,"Porter - Other","Carlsberg"
"365","Carlsberg Lite",0.04,22,"Lager - Pale","Carlsberg"
"366","Brewmasters Collection Irish Red Ale",0.046,26,"Red Ale - Irish","Carlsberg"
"367","Seth & Riley's Garage Hard Ginger Drink",0.046,28,"Ginger Beer","Carlsberg"
"368","Semper Ardens Albertina Porter",0.068,50,"Porter - Other","Carlsberg"
"369","Carls Selection Sweet Stout",0.042,35,"Stout - Milk / Sweet","Carlsberg"
"370","Tuborg Special",0.075,8,"Malt Liquor ","Carlsberg"
"371","Semper Ardens La Musique Wiener",0.042,18,"Lager - Vienna","Carlsberg"
"372","Semper Ardens Christmas Ale",0.083,25,"Belgian Strong Dark Ale","Carlsberg"
"373","Tuborg Gold 3.5%",0.035,17,"Lager - Euro","Carlsberg"
"374","Carls Selection Bock",0.067,18,"Bock - Single / Traditional","Carlsberg"
"375","Somersby Cider Strawberry & Rhubarb",0.04,28,"Cider - Other","Carlsberg"
"376","Somersby Unlimited Pomegranate",0.045,28,"Cider - Other","Carlsberg"
"377","Skol Super",0.08,28,"Lager - Euro Strong","Carlsberg"
"378","Carls Selection Bank Square Pale Ale",0.054,28,"Pale Ale - English","Carlsberg"
"379","King Pilsner",0.046,19,"Pilsner - Other","Carlsberg"
"380","Tuborg Super Light",9e-04,15,"Non-Alcoholic Beer","Carlsberg"
"381","Somersby Apple Cider Non Alco",0.046,28,"Cider - Other","Carlsberg"
"382","Tuborg Strong",0.08,17,"Lager - Euro","Carlsberg"
"383","Carlsberg Citrus",0.028,28,"Shandy / Radler","Carlsberg"
"384","Seth & Riley's Garage Hard Lemon Drink (Carlsberg Version)",0.04,28,"Shandy / Radler","Carlsberg"
"385","Gamle Carlsberg Pilsner",0.046,19,"Pilsner - Other","Carlsberg"
"386","Carls Selection Marsstraße Bock",0.067,18,"Bock - Single / Traditional","Carlsberg"
"387","Somersby Cranberry",0.045,28,"Cider - Other","Carlsberg"
"388","Semper Ardens Easter Brew",0.065,18,"Bock - Single / Traditional","Carlsberg"
"389","Quilmes Cristal",0.049,12,"Lager - North American Adjunct","Cervecería y Maltería Quilmes"
"390","Patagonia Amber Lager",0.047,19,"Lager - American Amber / Red","Cervecería y Maltería Quilmes"
"391","Patagonia Weisse",0.042,14,"Witbier","Cervecería y Maltería Quilmes"
"392","Patagonia Bohemian Pilsener",0.052,19,"Pilsner - Other","Cervecería y Maltería Quilmes"
"393","Quilmes Stout",0.048,45,"Stout - Other","Cervecería y Maltería Quilmes"
"394","Patagonia Küné",0.05,20,"Pale Ale - International","Cervecería y Maltería Quilmes"
"395","Patagonia 24.7",0.045,36,"IPA - Session / India Session Ale","Cervecería y Maltería Quilmes"
"396","Quilmes Bock",0.065,18,"Bock - Single / Traditional","Cervecería y Maltería Quilmes"
"397","Quilmes 1890",0.054,15,"Pilsner - German","Cervecería y Maltería Quilmes"
"398","Andes Blanca",0.055,22,"Lager - Pale","Cervecería y Maltería Quilmes"
"399","Iguana",0.052,22,"Lager - Pale","Cervecería y Maltería Quilmes"
"400","Quilmes Bajo Cero",0.045,22,"Lager - Pale","Cervecería y Maltería Quilmes"
"401","Quilmes Night",0.069,22,"Lager - Pale","Cervecería y Maltería Quilmes"
"402","Quilmes Clásica",0.049,22,"Lager - Pale","Cervecería y Maltería Quilmes"
"403","Palermo",0.049,22,"Lager - Pale","Cervecería y Maltería Quilmes"
"404","Patagonia Octubrefest",0.051,20,"Festbier","Cervecería y Maltería Quilmes"
"405","Quilmes Red Lager",0.047,18,"Lager - Vienna","Cervecería y Maltería Quilmes"
"406","Andes Origen Rubia",0.051,16,"Pilsner - Other","Cervecería y Maltería Quilmes"
"407","Iguana Summer Spirit",0.052,19,"Pilsner - Other","Cervecería y Maltería Quilmes"
"408","Patagonia Porter",0.051,35,"Porter - English","Cervecería y Maltería Quilmes"
"409","Andes Origen Roja",0.051,18,"Lager - Vienna","Cervecería y Maltería Quilmes"
"410","Quilmes Lieber",0.004,15,"Non-Alcoholic Beer","Cervecería y Maltería Quilmes"
"411","Andes Origen Negra",0.053,26,"Schwarzbier","Cervecería y Maltería Quilmes"
"412","Patagonia IPA Doble",0.075,80,"IPA - Imperial / Double","Cervecería y Maltería Quilmes"
"413","Andes Porter",0.056,50,"Porter - Other","Cervecería y Maltería Quilmes"
"414","Brahmita",0.048,16,"Lager - North American Adjunct","Cervecería y Maltería Quilmes"
"415","Andes IPA Andina",0.045,35,"IPA - Brut","Cervecería y Maltería Quilmes"
"416","Andes Barley Wine",0.09,28,"Barleywine - English","Cervecería y Maltería Quilmes"
"417","Norte",0.056,50,"Porter - Other","Cervecería y Maltería Quilmes"
"418","Brahma Lime",0.029,28,"Shandy / Radler","Cervecería y Maltería Quilmes"
"419","Baltica",0.049,22,"Lager - Pale","Cervecería y Maltería Quilmes"
"420","Andes Honey",0.045,22,"Honey Beer","Cervecería y Maltería Quilmes"
"421","Andes Ginger Lager",0.07,28,"Ginger Beer","Cervecería y Maltería Quilmes"
"422","Mixx Tail Mojito",0.08,8,"Malt Liquor ","Cervecería y Maltería Quilmes"
"423","Norte Blanca",0.049,5,"Pilsner - Other","Cervecería y Maltería Quilmes"
"424","Vera IPA",0.058,35,"IPA - New England","Cervecería y Maltería Quilmes"
"425","Pilón Pana",0.048,35,"Red Ale - American Amber / Red","Cervecería y Maltería Quilmes"
"426","Igúazu",0.049,22,"Lager - Pale","Cervecería y Maltería Quilmes"
"427","Imperial IPA",0.06,42,"IPA - Imperial / Double","Cervecería y Maltería Quilmes"
"428","Andres Carne De Res Rubi",0.049,15,"Pilsner - German","Cervecería y Maltería Quilmes"
"429","Patagonia Macondo",0.057,35,"Stout - Milk / Sweet","Cervecería y Maltería Quilmes"
"430","Patagonia Bahia Raso",0.029,28,"Shandy / Radler","Cervecería y Maltería Quilmes"
"431","Patagonia Paulina",0.045,20,"Märzen","Cervecería y Maltería Quilmes"
"432","Ginger-Bell",0.042,9,"Pale Ale - International","Cervecería y Maltería Quilmes"
"433","Chop De Barril Quilmes",0.049,23,"Blonde Ale","Cervecería y Maltería Quilmes"
"434","Fernandez",0.053,28,"IPA - International","Cervecería y Maltería Quilmes"
"435","Citric Ipa",0.065,40,"IPA - Session / India Session Ale","Cervecería y Maltería Quilmes"
"436","Pompin",0.038,28,"Pumpkin / Yam Beer","Cervecería y Maltería Quilmes"
"437","Quilmes Imported Lager",0.049,22,"Lager - Pale","Cervecería y Maltería Quilmes"
"438","Patagonia Wheat IPA",0.055,60,"IPA - American","Cervecería y Maltería Quilmes"
"439","Dos Equis Lager Especial",0.045,10,"Lager - North American Adjunct","Cuauhtémoc Moctezuma"
"440","Dos Equis Ambar",0.047,25,"Lager - Vienna","Cuauhtémoc Moctezuma"
"441","Tecate",0.045,14,"Lager - North American Adjunct","Cuauhtémoc Moctezuma"
"442","Sol",0.045,16,"Lager - North American Adjunct","Cuauhtémoc Moctezuma"
"443","Bohemia Clásica",0.048,21,"Lager - North American Adjunct","Cuauhtémoc Moctezuma"
"444","Tecate Light",0.039,7,"Lager - American Light","Cuauhtémoc Moctezuma"
"445","Indio",0.041,18,"Lager - Vienna","Cuauhtémoc Moctezuma"
"446","Carta Blanca",0.045,16,"Lager - North American Adjunct","Cuauhtémoc Moctezuma"
"447","Bohemia",0.047,21,"Pilsner - Czech","Cuauhtémoc Moctezuma"
"448","Bohemia Oscura",0.049,14,"Lager - Vienna","Cuauhtémoc Moctezuma"
"449","Superior",0.045,16,"Lager - North American Adjunct","Cuauhtémoc Moctezuma"
"450","Dos Equis Invierno",0.05,18,"Bock - Single / Traditional","Cuauhtémoc Moctezuma"
"451","Noche Buena",0.059,18,"Bock - Single / Traditional","Cuauhtémoc Moctezuma"
"452","Bohemia Weizen",0.057,11,"Kristallweizen","Cuauhtémoc Moctezuma"
"453","Dos Equis Roja",0.045,19,"Lager - American Amber / Red","Cuauhtémoc Moctezuma"
"454","Dos Equis Mexican Pale Ale",0.055,20,"Pale Ale - International","Cuauhtémoc Moctezuma"
"455","Dos Equis Blanca",0.057,14,"Witbier","Cuauhtémoc Moctezuma"
"456","Tecate Titanium",0.055,15,"Lager - North American Adjunct","Cuauhtémoc Moctezuma"
"457","Tecate Michelada",0.035,28,"Spiced / Herbed Beer","Cuauhtémoc Moctezuma"
"458","Sol Clamato",0.025,28,"Spiced / Herbed Beer","Cuauhtémoc Moctezuma"
"459","Bohemia Chocolate Stout",0.057,24,"Stout - Other","Cuauhtémoc Moctezuma"
"460","Kloster Light",0.031,15,"Lager - American Light","Cuauhtémoc Moctezuma"
"461","Dos Equis Radler",0.02,28,"Shandy / Radler","Cuauhtémoc Moctezuma"
"462","Bohemia IPA",0.064,55,"IPA - American","Cuauhtémoc Moctezuma"
"463","Sol w/ Limon y Sal",0.045,16,"Lager - North American Adjunct","Cuauhtémoc Moctezuma"
"464","Sol Michelada",0.035,28,"Spiced / Herbed Beer","Cuauhtémoc Moctezuma"
"465","Sol 3,2%",0.032,16,"Lager - North American Adjunct","Cuauhtémoc Moctezuma"
"466","Carta Blanca Light",0.039,22,"Lager - Pale","Cuauhtémoc Moctezuma"
"467","Rockabilly Cerveza Indio",0.041,19,"Lager - American Amber / Red","Cuauhtémoc Moctezuma"
"468","Superior Morena",0.045,18,"Lager - Vienna","Cuauhtémoc Moctezuma"
"469","Sol Chelada",0.035,22,"Lager - Pale","Cuauhtémoc Moctezuma"
"470","Indio Pilsner Plata",0.041,19,"Pilsner - Other","Cuauhtémoc Moctezuma"
"471","Sol Cero",0.005,15,"Non-Alcoholic Beer","Cuauhtémoc Moctezuma"
"472","Sol Arcadia - La Ciudad Dorada",0.042,16,"Lager - North American Adjunct","Cuauhtémoc Moctezuma"
"473","Dos Equis Los Enigmas",0.047,18,"Lager - Vienna","Cuauhtémoc Moctezuma"
"474","Sol Oscura",0.05,18,"Lager - Vienna","Cuauhtémoc Moctezuma"
"475","Bohemia Especial Edicion Frida Kahlo",0.048,22,"Lager - Pale","Cuauhtémoc Moctezuma"
"476","Carta Blanca Exquicita",0.04,28,"Brown Ale - American","Cuauhtémoc Moctezuma"
"477","Baja Brew Amber",0.05,19,"Lager - American Amber / Red","Cuauhtémoc Moctezuma"
"478","Kloster",0.06,18,"Lager - Vienna","Cuauhtémoc Moctezuma"
"479","Sol Brava",0.06,8,"Malt Liquor ","Cuauhtémoc Moctezuma"
"480","Bohemia Vienna",0.044,14,"Lager - Vienna","Cuauhtémoc Moctezuma"
"481","Casta Morena",0.06,28,"Brown Ale - American","Cuauhtémoc Moctezuma"
"482","Bohemia Pilsner",0.05,15,"Pilsner - German","Cuauhtémoc Moctezuma"
"483","Casta Cerveza Oscura",0.055,28,"Brown Ale - American","Cuauhtémoc Moctezuma"
"484","Dark Lager",0.054,10,"Lager - Dark","Cuauhtémoc Moctezuma"
"485","Blue pear",0.048,40,"Lager - Helles","Cuauhtémoc Moctezuma"
"486","Bohemia Cavha",0.057,35,"Stout - Milk / Sweet","Cuauhtémoc Moctezuma"
"487","Casta Dorada",0.05,23,"Blonde Ale","Cuauhtémoc Moctezuma"
"488","Dos Equis With Almond",0.042,17,"Lager - Euro","Cuauhtémoc Moctezuma"
"489","Casta Bruna",0.05,36,"Pale Ale - American","Cuauhtémoc Moctezuma"
"490","Sol Tomate",0.046,15,"Lager - American Light","Cuauhtémoc Moctezuma"
"491","Nacido Para Rodar",0.041,19,"Pilsner - Other","Cuauhtémoc Moctezuma"
"492","Superior 120 Años",0.046,22,"Lager - Pale","Cuauhtémoc Moctezuma"
"493","Azteca",0.039,15,"Lager - American Light","Cuauhtémoc Moctezuma"
"494","Indio Geek 2.0",0.041,16,"Lager - North American Adjunct","Cuauhtémoc Moctezuma"
"495","Garage Wild",0.041,22,"Lager - Pale","Cuauhtémoc Moctezuma"
"496","Chihuahua",0.048,16,"Lager - North American Adjunct","Cuauhtémoc Moctezuma"
"497","Bohemia - Noche Buena",0.059,18,"Bock - Single / Traditional","Cuauhtémoc Moctezuma"
"498","Bohemia Hefeweizen Dunkel",0.042,35,"Dunkelweizen","Cuauhtémoc Moctezuma"
"499","Sol 2018",0.045,16,"Lager - North American Adjunct","Cuauhtémoc Moctezuma"
"500","Bohemia Pale Ale Mexicana",0.05,30,"Pale Ale - International","Cuauhtémoc Moctezuma"
"501","Dos Equis Xxxxx-treme",0.048,22,"Lager - Pale","Cuauhtémoc Moctezuma"
"502","Carta Blanca Dark",0.054,10,"Lager - Dark","Cuauhtémoc Moctezuma"
"503","Bohemia Scottish Ale (Edicion Especial Expo Cerveza Mexico 2017)",0.075,11,"Scottish Ale","Cuauhtémoc Moctezuma"
"504","Chopana",0.047,40,"Lager - Helles","Cuauhtémoc Moctezuma"
"505","XXX Tres Equis Cerveza Clara",0.048,22,"Lager - Pale","Cuauhtémoc Moctezuma"
"506","Bohemia Märzen",0.056,22,"Märzen","Cuauhtémoc Moctezuma"
"507","XXX Cerveza Obscura",0.054,10,"Lager - Dark","Cuauhtémoc Moctezuma"
"508","Dunkeleeizen Edicion Especial 2017",0.07,26,"Dunkelweizen","Cuauhtémoc Moctezuma"
"509","Sol Summer",0.048,16,"Lager - North American Adjunct","Cuauhtémoc Moctezuma"
"510","Cucapá Chupacabras Pale Ale",0.058,45,"Pale Ale - American","Cucapá"
"511","Cucapá Honey Amber Ale",0.045,25,"Red Ale - American Amber / Red","Cucapá"
"512","Cucapá Runaway IPA",0.075,70,"IPA - American","Cucapá"
"513","Cucapá Obscura",0.048,28,"Brown Ale - American","Cucapá"
"514","Cucapá Clásica",0.045,23,"Blonde Ale","Cucapá"
"515","Cucapá Amber Ale",0.045,17,"Red Ale - American Amber / Red","Cucapá"
"516","Cucapá Green Card",0.1,28,"Barleywine - American","Cucapá"
"517","Cucapá La Migra",0.085,65,"Stout - American Imperial / Double","Cucapá"
"518","Cucapá Lookout",0.05,23,"Blonde Ale","Cucapá"
"519","Cucapá 57",0.045,21,"Kölsch","Cucapá"
"520","Cucapá Border",0.045,17,"Red Ale - American Amber / Red","Cucapá"
"521","Cucapá Lowrider Ale",0.072,49,"Rye Beer","Cucapá"
"522","Cerveza Chapultepec",0.052,35,"Red Ale - Irish","Cucapá"
"523","Hopulin Colorado",0.058,40,"IPA - Red","Cucapá"
"524","Oktoberfest 2017",0.052,22,"Märzen","Cucapá"
"525","Cucapá Tequila Barrel Aged",0.1,28,"Barleywine - American","Cucapá"
"526","Cocowash",0.052,45,"Stout - Other","Cucapá"
"527","Cucapá X Aniversario",0.067,70,"IPA - Black / Cascadian Dark Ale","Cucapá"
"528","Cucapá Oveja Negra",0.05,45,"Stout - Irish Dry","Cucapá"
"529","Cucapá Trigueña",0.035,11,"Hefeweizen","Cucapá"
"530","Cucapá Ambulante (2018)",0.058,25,"Bock - Weizenbock","Cucapá"
"531","Bier De Garde",0.06,28,"Bière de Garde","Cucapá"
"532","Barleywine 2014",0.1,28,"Barleywine - American","Cucapá"
"533","La Decembrina",0.058,25,"Bock - Weizenbock","Cucapá"
"534","Cucapá Saison",0.05,33,"Saison / Farmhouse Ale","Cucapá"
"535","Strong Ale Aged In Jack Daniels Barrels",0.09,27,"Other","Cucapá"
"536","Aged Strong Ale",0.1,60,"Strong Ale - American","Cucapá"
"537","El Triunfo",0.043,20,"Witbier","Cucapá"
"538","Chile-kalifa Pale Ale",0.055,36,"Pale Ale - American","Cucapá"
"539","Imperio",0.092,35,"Stout - Imperial / Double","Cucapá"
"540","Milkstout",0.057,35,"Stout - Milk / Sweet","Cucapá"
"541","Vitamina C",0.029,28,"Shandy / Radler","Cucapá"
"542","Mango Habanero Blonde",0.052,30,"Blonde Ale","Cucapá"
"543","Cucapa Day of the Dead",0.069,69,"IPA - American","Cucapá"
"544","Smoked Scottish Ale",0.035,15,"Smoked Beer","Cucapá"
"545","Polar Pilsen",0.045,19,"Pilsner - Other","Empresas Polar"
"546","Solera",0.06,16,"Lager - North American Adjunct","Empresas Polar"
"547","Solera Light",0.043,15,"Lager - American Light","Empresas Polar"
"548","Malta Polar",0.081,28,"Malt Beer","Empresas Polar"
"549","Polar Ice",0.045,22,"Lager - Pale","Empresas Polar"
"550","Polar Light",0.04,15,"Lager - American Light","Empresas Polar"
"551","Solera Märzen",0.04,22,"Märzen","Empresas Polar"
"552","Solera Black",0.05,10,"Lager - Dark","Empresas Polar"
"553","Solera IPA",0.06,28,"IPA - International","Empresas Polar"
"554","Solera Alt",0.053,28,"Altbier","Empresas Polar"
"555","Polar Light Limon",0.1,27,"Other","Empresas Polar"
"556","Cream stout",0.049,23,"Blonde Ale","Empresas Polar"
"557","Polar Zero",0.01,15,"Non-Alcoholic Beer","Empresas Polar"
"558","Doppel Bock",0.06,45,"Bock - Doppelbock","Empresas Polar"
"559","Cerveza Caracas",0.04,17,"Lager - Euro","Empresas Polar"
"560","Solera Maltz",0.081,28,"Malt Beer","Empresas Polar"
"561","Polar Beer",0.045,19,"Pilsner - Other","Empresas Polar"
"562","Estrella Damm",0.054,21,"Lager - Pale","Grupo Damm"
"563","Estrella Damm Inedit",0.048,18,"Witbier","Grupo Damm"
"564","Daura",0.054,30,"Gluten-Free","Grupo Damm"
"565","Voll-Damm Doble Malta",0.072,34,"Märzen","Grupo Damm"
"566","Estrella Damm 4.6 %",0.046,22,"Lager - Pale","Grupo Damm"
"567","Damm Lemon",0.032,28,"Shandy / Radler","Grupo Damm"
"568","A.K. DAMM",0.048,17,"Lager - Euro","Grupo Damm"
"569","Turia Märzen",0.054,22,"Märzen","Grupo Damm"
