"row","name","abv","ibu","style","brewery"
"891","Done Deal",0.04,4,"Golden Ale","Molson Coors (UK)"
"892","Caffrey's Stout",0.047,45,"Stout - Other","Molson Coors (UK)"
"893","Saints Ale",0.038,28,"English Bitter","Molson Coors (UK)"
"894","Harry Chapman's",0.036,28,"English Bitter","Molson Coors (UK)"
"895","Mild",0.028,28,"English Mild Ale","Molson Coors (UK)"
"896","Carling Lemon Cooler",0.02,14,"Fruit Beer","Molson Coors (UK)"
"897","Tepacho",0.055,28,"Cider - Other","Molson Coors (UK)"
"898","Llanerch Vineyard Ale",0.037,28,"English Bitter","Molson Coors (UK)"
"899","The Farewell Brew Alton Brewery",0.06,28,"Pale Ale - English","Molson Coors (UK)"
"900","New East Dart Ale",0.038,28,"English Mild Ale","Molson Coors (UK)"
"901","Zesty Lemon Animée Beer",0.04,14,"Fruit Beer","Molson Coors (UK)"
"902","Carling Zest Spiced With A Hint of Spiced Orange",0.028,28,"Shandy / Radler","Molson Coors (UK)"
"903","Penally Old Codger",0.036,28,"English Bitter","Molson Coors (UK)"
"904","Clear Animée Beer",0.04,14,"Fruit Beer","Molson Coors (UK)"
"905","Queen's Head Own Ale",0.038,28,"English Bitter","Molson Coors (UK)"
"906","Breaker Superbrew",0.08,22,"Lager - Pale","Molson Coors (UK)"
"907","Cobra Beer Gluten Free",0.048,22,"Gluten-Free","Molson Coors (UK)"
"908","Carling Rum Flavoured Cider",0.055,28,"Cider - Other","Molson Coors (UK)"
"909","Krait",0.048,16,"Lager - North American Adjunct","Molson Coors (UK)"
"910","Molson Canadian Biere",0.04,40,"Lager - Helles","Molson Coors (UK)"
"911","Tenby Ale",0.038,28,"English Bitter","Molson Coors (UK)"
"912","Kentigerns",0.04,17,"Lager - Euro","Molson Coors (UK)"
"913","Original",0.04,24,"Lager - Amber","Molson Coors (UK)"
"914","Rekorderlig Strawberry-Lime Low Alcohol",0.002,28,"Cider - Other","Molson Coors (UK)"
"915","Cobra Bite Sweet Lime",0.041,14,"Fruit Beer","Molson Coors (UK)"
"916","Rocky Red",0.05,28,"English Bitter","Molson Coors (UK)"
"917","Number 1 Brewery Farewell Brew",0.06,22,"Lager - Pale","Molson Coors (UK)"
"918","High Horton Ale",0.045,28,"English Bitter","Molson Coors (UK)"
"919","Star And Garter Andover Ale",0.038,28,"English Bitter","Molson Coors (UK)"
"920","The Farmers Arms",0.036,23,"Blonde Ale","Molson Coors (UK)"
"921","Wide Mouthed Frog",0.038,28,"English Bitter","Molson Coors (UK)"
"922","Gremlin Ale",0.036,28,"English Bitter","Molson Coors (UK)"
"923","Ten of the Best",0.053,28,"Scotch Ale / Wee Heavy","Molson Coors (UK)"
"924","Poacher's Brew",0.038,28,"English Bitter","Molson Coors (UK)"
"925","Cwrw Nanhyfer",0.036,4,"Golden Ale","Molson Coors (UK)"
"926","Watta",0.036,28,"English Bitter","Molson Coors (UK)"
"927","Shrewsbury Regatta Ale",0.039,28,"English Bitter","Molson Coors (UK)"
"928","Camelot",0.036,28,"English Bitter","Molson Coors (UK)"
"929","KPA, Keele People's Ale",0.045,28,"English Bitter","Molson Coors (UK)"
"930","Dragon Bitter",0.036,28,"English Bitter","Molson Coors (UK)"
"931","Old Ford",0.036,28,"English Bitter","Molson Coors (UK)"
"932","Chester Golden Ale",0.034,28,"English Mild Ale","Molson Coors (UK)"
"933","Cheshire English Pub Beer",0.05,28,"Pale Ale - English","Molson Coors (UK)"
"934","Golden Bear",0.038,28,"Pale Ale - English","Molson Coors (UK)"
"935","Kelvin Ale",0.053,24,"Lager - Amber","Molson Coors (UK)"
"936","Molson Canadian",0.05,15,"Lager - North American Adjunct","Molson Coors Canada"
"937","Rickard's Red",0.052,16,"Red Ale - Irish","Molson Coors Canada"
"938","Old Style Pilsner",0.05,15,"Pilsner - German","Molson Coors Canada"
"939","Rickard's White",0.054,14,"Witbier","Molson Coors Canada"
"940","Golden",0.05,22,"Lager - Pale","Molson Coors Canada"
"941","Export Ale",0.05,23,"Blonde Ale","Molson Coors Canada"
"942","Molson XXX",0.073,16,"Lager - North American Adjunct","Molson Coors Canada"
"943","Molson Ice",0.056,16,"Lager - North American Adjunct","Molson Coors Canada"
"944","Old Vienna (OV)",0.05,16,"Lager - North American Adjunct","Molson Coors Canada"
"945","Rickard's Dark",0.048,35,"Porter - English","Molson Coors Canada"
"946","Carling Black Label",0.047,16,"Lager - North American Adjunct","Molson Coors Canada"
"947","Rickard's Blonde",0.05,15,"Pilsner - German","Molson Coors Canada"
"948","Rickard's Radler",0.032,28,"Shandy / Radler","Molson Coors Canada"
"949","Belgian Moon",0.054,9,"Witbier","Molson Coors Canada"
"950","Molson Dry",0.055,16,"Lager - North American Adjunct","Molson Coors Canada"
"951","Mad Jack Premium Apple Lager",0.05,14,"Fruit Beer","Molson Coors Canada"
"952","Molson Canadian 67",0.03,15,"Lager - American Light","Molson Coors Canada"
"953","Canadian Light",0.042,15,"Lager - American Light","Molson Coors Canada"
"954","John H.R. Molson & Bros. 1908 Historic Pale Ale",0.068,47,"Pale Ale - American","Molson Coors Canada"
"955","Molson Canadian Cider",0.05,28,"Cider - Other","Molson Coors Canada"
"956","Black Horse",0.05,22,"Lager - Pale","Molson Coors Canada"
"957","Rickard's Red IPA",0.057,40,"IPA - Red","Molson Coors Canada"
"958","Stock Ale",0.05,23,"Blonde Ale","Molson Coors Canada"
"959","Rickard's Lederhosen Octoberfest-Style Lager",0.065,22,"Märzen","Molson Coors Canada"
"960","Mad Jack Premium Hard Root Beer",0.05,28,"Root Beer","Molson Coors Canada"
"961","Rickard's Shandy",0.045,28,"Shandy / Radler","Molson Coors Canada"
"962","India Beer",0.05,23,"Blonde Ale","Molson Coors Canada"
"963","Molson Canadian Cider - Stone Fruit",0.05,28,"Cider - Other","Molson Coors Canada"
"964","Rickard's Oakhouse",0.055,28,"Lager - Winter","Molson Coors Canada"
"965","Canadian Cold Shots 6.0",0.06,22,"Lager - Pale","Molson Coors Canada"
"966","Molson Canadian 67 Session IPA",0.03,10,"IPA - Session / India Session Ale","Molson Coors Canada"
"967","Carling Lager (Canada)",0.049,16,"Lager - North American Adjunct","Molson Coors Canada"
"968","Bohemian",0.05,22,"Lager - Pale","Molson Coors Canada"
"969","Laurentide",0.05,23,"Blonde Ale","Molson Coors Canada"
"970","Coors Altitude",0.064,16,"Lager - North American Adjunct","Molson Coors Canada"
"971","Rickard's Red Session Lager",0.04,18,"Lager - American Amber / Red","Molson Coors Canada"
"972","Molson Canadian Wheat",0.045,28,"Pale Wheat Ale - American","Molson Coors Canada"
"973","Wanderoot Apple Cider",0.051,28,"Cider - Other","Molson Coors Canada"
"974","Molson M",0.049,16,"Lager - North American Adjunct","Molson Coors Canada"
"975","Rickard's Cardigan",0.055,28,"Spiced / Herbed Beer","Molson Coors Canada"
"976","Keystone Lager (Canada)",0.049,22,"Lager - Pale","Molson Coors Canada"
"977","Carling Ice",0.055,16,"Lager - North American Adjunct","Molson Coors Canada"
"978","Coors Light Iced T",0.04,15,"Lager - American Light","Molson Coors Canada"
"979","Black Ice",0.061,16,"Lager - North American Adjunct","Molson Coors Canada"
"980","Mad Jack Premium Ginger Flavoured Lager",0.05,28,"Ginger Beer","Molson Coors Canada"
"981","Bennett Dominion Ale",0.05,23,"Blonde Ale","Molson Coors Canada"
"982","Canadian 67 Sublime",0.03,15,"Lager - American Light","Molson Coors Canada"
"983","O'Keefe",0.05,23,"Blonde Ale","Molson Coors Canada"
"984","Standard Lager",0.05,34,"Lager - North American Adjunct","Molson Coors Canada"
"985","Exel",0.005,15,"Non-Alcoholic Beer","Molson Coors Canada"
"986","Extra Old Stock",0.0565,8,"Malt Liquor ","Molson Coors Canada"
"987","Boston Pizza's 50th Anniversary Pale Ale",0.053,36,"Pale Ale - American","Molson Coors Canada"
"988","Carling Light (Canada)",0.04,15,"Lager - American Light","Molson Coors Canada"
"989","Mad Jack Suckerpunch Strong Lemon Lager",0.07,14,"Fruit Beer","Molson Coors Canada"
"990","Molson Brador",0.06,8,"Malt Liquor ","Molson Coors Canada"
"991","Molson Canadian Cider Pear",0.05,28,"Cider - Perry","Molson Coors Canada"
"992","Calgary Beer",0.05,15,"Lager - American Light","Molson Coors Canada"
"993","Molson Canadian 67 Tangerine Twist",0.03,14,"Fruit Beer","Molson Coors Canada"
"994","Rickard's Honey Brown",0.045,23,"Blonde Ale","Molson Coors Canada"
"995","Carling Black Label Dry 6.1%",0.061,16,"Lager - North American Adjunct","Molson Coors Canada"
"996","Carling Dry",0.055,16,"Lager - North American Adjunct","Molson Coors Canada"
"997","Coors Edge",0.005,15,"Non-Alcoholic Beer","Molson Coors Canada"
"998","Rickard's Pale Ale",0.048,36,"Pale Ale - American","Molson Coors Canada"
"999","Mad Jack Hard Core Strong Apple Lager",0.07,14,"Fruit Beer","Molson Coors Canada"
"1000","Molson Canadian Cider White Cranberry",0.05,28,"Cider - Other","Molson Coors Canada"
"1001","Carling Black Label Supreme 8.0%",0.08,8,"Malt Liquor ","Molson Coors Canada"
"1002","Molson Dry 10.1%",0.101,23,"Blonde Ale","Molson Coors Canada"
"1003","Mad Jack Premium Lemon Flavoured Lager",0.05,28,"Malt Beer","Molson Coors Canada"
"1004","Mad Jack Hard Flavored Ice Tea",0.05,8,"Malt Liquor ","Molson Coors Canada"
"1005","Molson Dry Cold Shots",0.065,16,"Lager - North American Adjunct","Molson Coors Canada"
"1006","Molson Extra",0.062,8,"Malt Liquor ","Molson Coors Canada"
"1007","Canadian Cider Raspberry",0.05,28,"Cider - Other","Molson Coors Canada"
"1008","Molson Dry 8.5%",0.085,8,"Malt Liquor ","Molson Coors Canada"
"1009","Darcy's Live Lager",0.05,22,"Lager - Pale","Molson Coors Canada"
"1010","Golden Anniversary Pale Ale",0.055,36,"Pale Ale - American","Molson Coors Canada"
"1011","Molson Dry 6.5%",0.065,8,"Malt Liquor ","Molson Coors Canada"
"1012","Mad Jack Hard Flavoured Tropical Punch",0.05,14,"Fruit Beer","Molson Coors Canada"
"1014","Rickard's India Pale Ale",0.06,46,"IPA - English","Molson Coors Canada"
"1015","Backstreet Lager",0.048,22,"Lager - Pale","Molson Coors Canada"
"1016","Canadian Ice",0.045,23,"Blonde Ale","Molson Coors Canada"
"1017","Fat Cock",0.046,20,"Lager - American Light","Molson Coors Canada"
"1018","Kirin Draft Dry",0.044,17,"Lager - Euro","Molson Coors Canada"
"1019","Carling C2",0.02,15,"Lager - American Light","Molson Coors Canada"
"1020","Caffrey's Cream Ale",0.053,28,"Cream Ale","Molson Coors Canada"
"1021","Orford Pale Ale",0.055,36,"Pale Ale - American","Molson Coors Canada"
"1022","Ice House Ale",0.05,23,"Blonde Ale","Molson Coors Canada"
"1023","Dooly's '93",0.036,15,"Lager - American Light","Molson Coors Canada"
"1024","Red Jack",0.05,24,"Red Ale - American Amber / Red","Molson Coors Canada"
"1025","Molson Kick",0.05,16,"Lager - North American Adjunct","Molson Coors Canada"
"1026","CanadianX",0.06,35,"Pilsner - Imperial / Double","Molson Coors Canada"
"1027","Carling Black Label Big 10",0.101,8,"Malt Liquor ","Molson Coors Canada"
"1028","Molson Ultra",0.062,60,"Strong Ale - American","Molson Coors Canada"
"1029","Skinny Cock",0.047,21,"Pilsner - Czech","Molson Coors Canada"
"1030","Hatchet Lager",0.048,16,"Lager - North American Adjunct","Molson Coors Canada"
"1031","Truly Unique",0.047,21,"Pilsner - Czech","Molson Coors Canada"
"1032","Den Lager",0.039,15,"Lager - American Light","Molson Coors Canada"
"1033","Surrey Pint",0.039,15,"Lager - American Light","Molson Coors Canada"
"1034","Biere Reubens",0.05,23,"Blonde Ale","Molson Coors Canada"
"1035","Animée Rosé",0.04,14,"Fruit Beer","Molson Coors Canada"
"1036","Sapporo Premium Beer",0.047,24,"Lager - Pale","Sapporo Breweries"
"1037","Sapporo Draft Beer (Black Label)",0.05,16,"Lager - Japanese Rice","Sapporo Breweries"
"1038","Yebisu (Premium)",0.05,28,"Lager - Dortmunder / Export","Sapporo Breweries"
"1039","Sapporo Reserve All Malt Beer",0.05,22,"Lager - Pale","Sapporo Breweries"
"1040","Sapporo Premium Light Beer",0.039,16,"Lager - Japanese Rice","Sapporo Breweries"
"1041","Sapporo Premium Black",0.043,26,"Schwarzbier","Sapporo Breweries"
"1042","Sapporo Classic",0.05,22,"Lager - Pale","Sapporo Breweries"
"1043","Yebisu Premium Black",0.05,26,"Schwarzbier","Sapporo Breweries"
"1044","Kohaku Yebisu (<U+7425><U+73C0><U+30F1><U+30D3><U+30B9>)",0.055,18,"Lager - Vienna","Sapporo Breweries"
"1045","Sapporo Lager Beer",0.05,16,"Lager - Japanese Rice","Sapporo Breweries"
"1046","White Belg",0.05,14,"Witbier","Sapporo Breweries"
"1047","Stone Warrior",0.05,28,"Dark Ale","Sapporo Breweries"
"1048","Yebisu Stout Creamy Top",0.05,45,"Stout - Other","Sapporo Breweries"
"1049","Yebisu Meister",0.055,28,"Lager - Dortmunder / Export","Sapporo Breweries"
"1050","Edelpils",0.05,15,"Pilsner - German","Sapporo Breweries"
"1051","Sapporo Silver Draft",0.05,22,"Lager - Pale","Sapporo Breweries"
"1052","Yebisu Hana Miyabi (<U+83EF><U+307F><U+3084><U+3073>)",0.055,11,"Kristallweizen","Sapporo Breweries"
"1053","Shirohonoka (<U+767D><U+7A42><U+4E43><U+9999>)",0.05,11,"Hefeweizen","Sapporo Breweries"
"1054","Mugi to Hop (<U+9EA6><U+3068><U+30DB><U+30C3><U+30D7>)",0.05,28,"Happoshu","Sapporo Breweries"
"1055","Sapporo Black Label Extra Brew",0.055,16,"Lager - Japanese Rice","Sapporo Breweries"
"1056","Yebisu #126 Dual Smooth",0.06,28,"Lager - Dortmunder / Export","Sapporo Breweries"
"1057","Fuyu Monogatari - The Winter's Tale (<U+51AC><U+7269><U+8A9E>)",0.055,16,"Lager - Japanese Rice","Sapporo Breweries"
"1058","Silk Yebisu",0.055,28,"Lager - Dortmunder / Export","Sapporo Breweries"
"1059","Mugi to Hop Black (<U+9EA6><U+3068><U+30DB><U+30C3><U+30D7> <U+9ED2>)",0.05,28,"Happoshu","Sapporo Breweries"
"1060","Bluecap Premium Beer",0.045,40,"Lager - Helles","Sapporo Breweries"
"1061","Yebisu Royal Selection",0.055,28,"Lager - Dortmunder / Export","Sapporo Breweries"
"1062","Sapporo Five Star",0.055,16,"Lager - Japanese Rice","Sapporo Breweries"
"1063","Fuumi Soukai-ni Shite Original Beer For Niigata (<U+98A8><U+5473><U+723D><U+5FEB><U+30CB><U+30B7><U+30C6>)",0.05,22,"Lager - Pale","Sapporo Breweries"
"1064","Sapporo Draft One",0.05,28,"Happoshu","Sapporo Breweries"
"1065","Kanpai Ale",0.055,4,"Golden Ale","Sapporo Breweries"
"1066","Beer Surprise Shifuku no Nigami (<U+81F3><U+798F><U+306E><U+82E6><U+307F>)",0.05,19,"Pilsner - Other","Sapporo Breweries"
"1067","Shizuoka Bakushu (<U+9759><U+5CA1><U+9EA6><U+9152>)",0.05,19,"Pilsner - Other","Sapporo Breweries"
"1068","Sapporo Hokkaido Nama-Shibori (<U+5317><U+6D77><U+9053><U+751F><U+643E><U+308A>)",0.055,28,"Happoshu","Sapporo Breweries"
"1069","Yebisu #127 Dual Smooth",0.06,28,"Lager - Dortmunder / Export","Sapporo Breweries"
"1070","Ruby Belg",0.04,14,"Fruit Beer","Sapporo Breweries"
"1071","Level 9",0.09,28,"Happoshu","Sapporo Breweries"
"1072","Mugi to Hop Aka (<U+9EA6><U+3068><U+30DB><U+30C3><U+30D7> <U+8D64>)",0.05,28,"Happoshu","Sapporo Breweries"
"1073","Mugi to Hop Miwaku no Hop Session (<U+9EA6><U+3068><U+30DB><U+30C3><U+30D7> <U+9B45><U+60D1><U+306E><U+30DB><U+30C3><U+30D7><U+30BB><U+30C3><U+30B7><U+30E7><U+30F3>)",0.05,28,"Happoshu","Sapporo Breweries"
"1074","Kuradashi Draft Beer (<U+8535><U+51FA><U+3057><U+751F><U+30D3><U+30FC><U+30EB>)",0.045,22,"Lager - Pale","Sapporo Breweries"
"1075","Beer Surprise Shifuku no Fukami (<U+81F3><U+798F><U+306E><U+6DF1><U+307F>)",0.055,22,"Lager - Pale","Sapporo Breweries"
"1076","Yebisu with Joël Robuchon Kakubetsu no Kanpai (<U+683C><U+5225><U+306E><U+4E7E><U+676F>)",0.05,28,"Lager - Dortmunder / Export","Sapporo Breweries"
"1077","Nippon Pils",0.06,19,"Pilsner - Other","Sapporo Breweries"
"1078","Beer Surprise Shifuku no Koku (<U+81F3><U+798F><U+306E><U+30B3><U+30AF>)",0.065,22,"Märzen","Sapporo Breweries"
"1079","Mugi To Hop Aka Fest Style",0.06,20,"Festbier","Sapporo Breweries"
"1080","Fukami Ajiwau Yebisu (<U+6DF1><U+307F><U+5473><U+308F><U+3046><U+30F1><U+30D3><U+30B9>)",0.06,28,"Lager - Dortmunder / Export","Sapporo Breweries"
"1081","Seven Premium Gold Wa no Ippin (<U+548C><U+306E><U+9038><U+54C1>)",0.055,19,"Pilsner - Other","Sapporo Breweries"
"1082","Beer Surprise Shifuku No Kire (<U+81F3><U+798F><U+306E><U+30AD><U+30EC>)",0.06,22,"Lager - Pale","Sapporo Breweries"
"1083","Gold Belg",0.06,4,"Golden Ale","Sapporo Breweries"
"1084","Brown Belg",0.06,28,"Brown Ale - American","Sapporo Breweries"
"1085","Mugi to Hop Platinum Clear",0.05,28,"Happoshu","Sapporo Breweries"
"1086","Tsingtao",0.047,25,"Lager - Pale","Tsingtao Brewery"
"1087","Tsingtao <U+7EAF><U+751F> (Draft)",0.025,22,"Lager - Pale","Tsingtao Brewery"
"1088","Tsingtao Augerta 1903",0.047,22,"Lager - Pale","Tsingtao Brewery"
"1089","Tsingtao Draft Beer 11º (Pure Draft Beer)",0.043,16,"Lager - North American Adjunct","Tsingtao Brewery"
"1090","Tsingtao Stout (Export 7.5%)",0.075,45,"Stout - Other","Tsingtao Brewery"
"1091","Tsingtao <U+9038><U+54C1><U+7EAF><U+751F>",0.04,22,"Lager - Pale","Tsingtao Brewery"
"1092","White Beer",0.047,11,"Hefeweizen","Tsingtao Brewery"
"1093","Laoshan Beer",0.036,16,"Lager - North American Adjunct","Tsingtao Brewery"
"1094","Tsingtao Gold",0.043,19,"Pilsner - Other","Tsingtao Brewery"
"1095","Tsingtao Draft Original",0.047,10,"Lager - Pale","Tsingtao Brewery"
"1096","Tsingtao 8º <U+7EAF><U+751F> (Draft)",0.031,16,"Lager - North American Adjunct","Tsingtao Brewery"
"1097","Tsingtao IPA",0.052,46,"IPA - English","Tsingtao Brewery"
"1098","Tsingtao <U+5965><U+53E4><U+7279>",0.05,22,"Lager - Pale","Tsingtao Brewery"
"1099","Tsingtao Stout (Domestic 4.5%)",0.045,36,"Stout - Foreign / Export","Tsingtao Brewery"
"1100","Tsingtao Light",0.033,15,"Lager - American Light","Tsingtao Brewery"
"1101","Qingdao ",0.04,16,"Lager - North American Adjunct","Tsingtao Brewery"
"1102","Tsingtao 9º",0.036,22,"Lager - Pale","Tsingtao Brewery"
"1103","Tsingtao Pilsner",0.045,19,"Pilsner - Other","Tsingtao Brewery"
"1104","Tsingtao Wheat Beer",0.047,28,"Wheat Beer - Other","Tsingtao Brewery"
"1105","Tsingtao 2000",0.04,22,"Lager - Pale","Tsingtao Brewery"
"1106","Tsingtao 1903 (4.3%)",0.043,17,"Lager - Euro","Tsingtao Brewery"
"1107","Tsingtao Original Beer 13°",0.047,22,"Lager - Pale","Tsingtao Brewery"
"1108","Tsingtao Premium Draft",0.036,15,"Lager - American Light","Tsingtao Brewery"
"1109","Laoshan Beer 8°P (3.1%)",0.031,15,"Lager - American Light","Tsingtao Brewery"
"1110","Tsingtao 10°",0.04,22,"Lager - Pale","Tsingtao Brewery"
"1111","Tsingtao Ice",0.031,22,"Lager - Pale","Tsingtao Brewery"
"1112","HuiQuan Beer",0.047,16,"Lager - North American Adjunct","Tsingtao Brewery"
"1113","Shanshui 8°",0.031,22,"Lager - Pale","Tsingtao Brewery"
"1114","Tezhi",0.048,16,"Lager - North American Adjunct","Tsingtao Brewery"
"1115","Tsingtao Classic 1903",0.04,22,"Lager - Pale","Tsingtao Brewery"
"1116","Hans Dry Beer",0.04,16,"Lager - North American Adjunct","Tsingtao Brewery"
"1117","Tsingtao Dark",0.052,26,"Schwarzbier","Tsingtao Brewery"
"1118","Tsingtao Raw Beer (<U+9752><U+5C9B><U+539F><U+6D46>)",0.048,22,"Lager - Pale","Tsingtao Brewery"
"1119","Shanshui 10° P",0.04,16,"Lager - North American Adjunct","Tsingtao Brewery"
"1120","Ultra Draft",0.031,22,"Lager - Pale","Tsingtao Brewery"
"1121","Five Star Beer",0.031,22,"Lager - Pale","Tsingtao Brewery"
"1122","Yantai",0.033,16,"Lager - North American Adjunct","Tsingtao Brewery"
"1123","Xuanqi (peach)",0.015,14,"Fruit Beer","Tsingtao Brewery"
"1124","Tsingtao <U+51B0><U+9187>",0.04,22,"Lager - Pale","Tsingtao Brewery"
"1125","Qingchun",0.031,17,"Lager - Euro","Tsingtao Brewery"
"1126","Year of the Dog 2018",0.047,22,"Lager - Pale","Tsingtao Brewery"
"1127","Laoshan Premium Beer",0.04,16,"Lager - North American Adjunct","Tsingtao Brewery"
"1128","Tsingtao Premium Stout",0.048,45,"Stout - Other","Tsingtao Brewery"
"1129","Tsingtao 11°P",0.043,22,"Lager - Pale","Tsingtao Brewery"
"1130","<U+9752><U+5CF6><U+9ED2><U+5564><U+9152>",0.065,28,"Dark Ale","Tsingtao Brewery"
"1131","Cool",0.039,15,"Lager - American Light","Tsingtao Brewery"
"1132","Icy Smooth <U+9752><U+5C9B><U+51B0><U+7EAF>",0.045,16,"Lager - North American Adjunct","Tsingtao Brewery"
"1133","Huiquan Yimai",0.036,15,"Lager - American Light","Tsingtao Brewery"
"1134","Red Dragon Xtreme",0.048,40,"Lager - Helles","Tsingtao Brewery"
"1135","Baotuquan",0.048,16,"Lager - North American Adjunct","Tsingtao Brewery"
"1136","Hobgoblin Legendary Ruby Beer",0.052,32,"Brown Ale - English","Wychwood Brewery"
"1137","Hobgoblin Gold",0.042,4,"Golden Ale","Wychwood Brewery"
"1138","King Goblin",0.066,28,"Strong Ale - English","Wychwood Brewery"
"1139","Scarecrow Organic",0.047,28,"Pale Ale - English","Wychwood Brewery"
"1140","Bah Humbug",0.05,4,"Winter Ale","Wychwood Brewery"
"1141","Black Wych",0.05,35,"Porter - English","Wychwood Brewery"
"1142","Dr. Thirsty's No.4 Blonde",0.041,23,"Blonde Ale","Wychwood Brewery"
"1143","Ginger Beard",0.042,28,"Ginger Beer","Wychwood Brewery"
"1144","Fire Catcher",0.035,4,"Golden Ale","Wychwood Brewery"
"1145","Hobgoblin IPA",0.053,50,"IPA - English","Wychwood Brewery"
"1146","Goliath",0.042,28,"English Bitter","Wychwood Brewery"
"1147","Imperial Red",0.043,28,"Red Ale - Other","Wychwood Brewery"
"1148","Dunkel Fester",0.044,28,"Lager - Munich Dunkel","Wychwood Brewery"
"1149","Wychcraft",0.045,23,"Blonde Ale","Wychwood Brewery"
"1150","Arrowaine",0.036,28,"English Mild Ale","Wychwood Brewery"
"1151","Pumpking",0.038,28,"Pumpkin / Yam Beer","Wychwood Brewery"
"1152","Dryneck",0.04,4,"Golden Ale","Wychwood Brewery"
"1153","Brewdolph",0.04,4,"Golden Ale","Wychwood Brewery"
"1154","Dirty Tackle",0.04,28,"English Bitter","Wychwood Brewery"
"1155","King Star",0.056,22,"Lager - Pale","Wychwood Brewery"
"1156","Ripsaw",0.042,28,"IPA - Rye","Wychwood Brewery"
"1157","Hot Cross Bunny",0.038,28,"Spiced / Herbed Beer","Wychwood Brewery"
"1158","Gratis",0.042,22,"Gluten-Free","Wychwood Brewery"
"1159","Full Brazilian",0.044,4,"Golden Ale","Wychwood Brewery"
"1160","Snow Belle",0.043,18,"Winter Ale","Wychwood Brewery"
